"题目","朝代","作者","内容","来源","词牌"
"哭墙","","HITA","alan - 桜モダン⏎hita⏎预言来世有谁告诉他⏎一起离开罢⏎永远不倒 传诵着神话⏎穿越过加沙⏎朝圣般走来虔诚写下⏎流浪的笔划⏎曾经疲惫不堪的觉察⏎回首看见他⏎三千年 弹指间 有人哼唱弥赛亚⏎三千年 转眼过 寂寞何时萌了芽⏎永不相见的误差⏎思念沾湿了你的发⏎世界抛在身后吧⏎问你 可否抱紧了他⏎一时兴起的牵挂⏎即使只是啊 那一刹⏎任时间随意演化⏎看啊哭墙就立在那⏎千年的时间差⏎为何毁灭了⏎毁灭几世之前的索多玛⏎祈求末日是否问过他⏎放弃一切吧⏎爱情本是一则神话⏎满眼的黄沙⏎年复一年又何苦挣扎⏎死海阳光下⏎焚烧浑然不觉的浮华⏎只为遇见他⏎三千年 忘却的 是谁写下弥赛亚⏎三千年 相见时 寂寞已开了花⏎罪孽深重的处罚⏎悔恨拂过了你的发⏎一回头错过天涯⏎问你 是否抱紧了他⏎凋零一夜的烟花⏎即使只是啊 那一话⏎亲吻微咸的脸颊⏎看啊哭墙就立在那⏎望着你⏎顷刻他泪如雨下⏎他在说我们走吧⏎痛楚纠缠了你的发⏎天使哭泣的暗哑⏎问你 能否抱紧了他⏎忍不住如此回答⏎即使只是啊 那一夏⏎喜欢又如何作假⏎看啊哭墙就立在那⏎忍不住如此回答⏎即使只是啊 那一夏⏎喜欢又如何作假⏎看啊哭墙就立在那⏎约旦河⏎看夕阳已西下⏎一切随他吧⏎耶路撒冷已老去了繁华","语料库",""
"凛冬将至（“王者荣耀”王昭君同人歌）","","HITA","啊鲤⏎峡谷同人局 腾讯游戏玩家创作联盟-TGL⏎高山峨峨云苍苍⏎秋木萋萋水泱泱⏎紫燕翩翩远飞西羌⏎谁 嫁与神灵 做新娘⏎朔风瑟瑟尘茫茫⏎凛冬已至 无妨⏎不知何年何月何地风光⏎有 枝头白梅 开满堂⏎蛮荒绝域 月寒雪急⏎天赐这白衾作新衣⏎浩浩北溟 殷血流尽⏎可有人长梦不愿醒⏎岁岁献祭 炽火天明⏎难融开被冰封的心⏎莫问来客 几时能归 故里⏎长城巍巍草莽莽⏎明眸回望 哀伤⏎拥再美容貌终究他乡埋葬⏎闻 塞内春早 已芬芳⏎蛮荒绝域 月寒雪急⏎天赐这白衾作新衣⏎浩浩北溟 殷血流尽⏎可有人长梦不愿醒⏎岁岁献祭 炽火天明⏎难融开被冰封的心⏎莫问来客 几时能归 故里⏎蛮荒绝域 月寒雪急⏎青毡锦帐解我悲喜⏎浩浩北溟 殷血流尽⏎芸芸人间是狄是夷⏎岁岁献祭 炽火天明⏎能佑谁万世得太平⏎莫问来客 几人识得 我名 昭君⏎*第一段改自《怨词》","语料库",""
"阿门(live)_-_live","","谢霆锋","阿门 - 谢霆锋⏎我不觉得 热恋中的你存心去玩⏎大家都针对你 一起感叹 情侣是我拣⏎我只觉得 大家得不到才对你红着眼⏎甚么很滥 甚么不滥 真爱是拆不散⏎入夜后让你我 说声阿门 记得我们⏎落力结伴 随时随地一双成对⏎有心人更不满⏎即使我们错 不比他们多⏎太爱你也许会难过⏎回头恨你 又是否好结果⏎不想我难过 除非肯答应我⏎明年今夜至少跟我⏎自助餐上同坐 唱活一首情歌⏎求大家给你认错⏎爱你爱到往日朋友不敢分享⏎当然不敢想像你会感激鼓掌⏎如若偏坦得到回报⏎但愿我值得拿勋章⏎我不觉得 用心相拥会全身糜烂⏎大家都审判你 天不开眼 游戏任你玩⏎我只觉得 幸福不需要全世界来盛赞⏎漫天子弹 朦起双眼⏎都会为你分担⏎入夜后让你我 说声阿门 记得我们⏎落力结伴 随时随地一双成对⏎我依然会自满⏎即使我们错 不比他们多⏎太爱你也许会难过⏎回头恨你 又是否好结果⏎不想我难过 除非肯答应我⏎明年今夜至少跟我⏎自助餐上同坐 唱活一首情歌⏎求大家给你认错","语料库",""
"同门","","谢霆锋","同样在这天涯中小孩⏎也总会变大⏎区分到门牌⏎分不到门派⏎同样在这高楼的森林⏎过一过今生⏎小子与大人⏎都需要明灯⏎那论信佛信主⏎都出于来处⏎抱着信念战事能输⏎记住我们 会待你们⏎似弟兄姐妹那般⏎若吃苦享福分半⏎将负担减一半⏎你若扣门 我便阿门⏎信命数天使会保管⏎你有事 便救援⏎是我在世间的同门⏎同途在这星球 想出头⏎打开了窗口⏎想观看自由 走出了门口⏎那论信佛信主⏎都出于来处⏎抱着信念战事能输⏎记住我们 会待你们⏎似弟兄姐妹那般⏎若吃苦享福分半⏎将负担减一半⏎你若扣门 我便阿门⏎信命数天使会保管⏎你有事 便救援⏎是我在世间的同门⏎记住我们 会待你们⏎似弟兄姐妹那般⏎若吃苦享福分半⏎将负担减一半⏎你若扣门 我便阿门⏎信命数天使会保管⏎你有事 便救援⏎是我在世间的同门⏎记住我们 会待你们⏎似弟兄姐妹那般⏎若吃苦享福分半⏎将负担减一半⏎你若扣门 我便阿门⏎信命数天使会保管⏎你有事 便救援⏎是我在世间的同门","语料库",""
"快乐天使","","郑希怡","如何能快乐⏎我今天一个一张床⏎在每个角落也有工作⏎是否只得我不能快乐⏎然而身旁哪一个非常快乐⏎来心念一转⏎有天使一个⏎用掌心给我温柔按摩⏎来心事一放⏎让光环别脱落⏎和牟尼释加⏎在学习平常心窝⏎耶和华教导⏎叫我闷就唱歌⏎连穆罕默德都知道⏎天使多在念着⏎万万千千的希望⏎多伤心都要快乐（要快乐）⏎多痴心都要快乐（到处天堂）⏎多忧心都要快乐（要快乐）⏎多灰心都要快乐⏎人人能快乐⏎我今天可以不起床⏎若欠缺爱情也有工作⏎或者只得过一时快乐⏎然而身旁哪一个一直快乐⏎地上天使多⏎地狱都可快乐⏎愿我多伤心都要快乐（要快乐）⏎多痴心都要快乐（刹那天堂）","语料库",""
"祈祷","","刘文正","让我们敲希望的钟呀⏎多少祈祷在其中⏎让大家看不到失败⏎叫成功永远在⏎让大家看不到失败⏎叫成功永远在⏎让地球忘记了转动呀⏎四季少了夏秋冬⏎让宇宙关不了天窗⏎叫太阳不西冲⏎让宇宙关不了天窗⏎叫太阳不西冲⏎让欢喜代替了哀愁呀⏎微笑不会再害羞⏎让时光懂得去倒流⏎叫青春不开溜⏎让时光懂得去倒流⏎叫青春不开溜⏎让贫穷开始去逃亡呀⏎快乐健康留四方⏎让世界找不到黑暗⏎幸福像花开放⏎让大家看不到失败⏎叫成功永远在","语料库",""
"煞","","孙淑媚","冷风吹心肝⏎呒管怎样吹 吹袂走你的形影⏎如今爱到这⏎寸步难行的情路 阮只好认命⏎想欲放袂记 两人错误彼一段⏎结束的恋歌 回头搁听心愈痛⏎勉强来作伴 感情永远袂冻靠岸⏎何必搁在扮 剧情愈长愈拖磨⏎甘愿煞煞煞 趁早看破⏎阔阔阔 心卡快活⏎倔强的我 甘愿伤心一咧人孤单⏎心头乱乱乱 乱阮心晨⏎烦烦烦 嘛无卡诅⏎所有结局乎阮来承担⏎请你离开我⏎一句山盟海誓无你我袂活⏎爱你爱甲吃不下 睡不着⏎头昏又眼花⏎阮的心痛不是发痘子⏎好好去着准煞⏎搁一摆爱爱我⏎搁一摆抱抱我⏎你的脸亲像花⏎看着你我的心块飞⏎既然缘分将你我来绑作伙⏎请拜托 上帝阿门菩萨甲阿拉⏎乎咱一世人永远作伙⏎永远拢袂 煞煞煞⏎冷风吹心肝⏎呒管怎样吹 吹袂走你的形影⏎如今爱到这⏎寸步难行的情路 阮只好认命⏎想欲放袂记 两人错误彼一段⏎结束的恋歌 回头搁听心愈痛⏎勉强来作伴 感情永远袂冻靠岸⏎何必搁在扮 剧情愈长愈拖磨⏎甘愿煞煞煞 趁早看破⏎阔阔阔 心卡快活⏎倔强的我 甘愿伤心一咧人孤单⏎心头乱乱乱 乱阮心晨⏎烦烦烦 嘛无卡诅⏎所有结局乎阮来承担⏎请你离开我⏎甘愿煞煞煞 趁早看破⏎阔阔阔 心卡快活⏎倔强的我 甘愿伤心一咧人孤单⏎心头乱乱乱 乱阮心晨⏎烦烦烦 嘛无卡诅⏎所有结局乎阮来承担⏎请你离开我⏎请你离开我⏎请你离开我","语料库",""
"少女的祈祷(live)_-_live","","张智霖","沿途与他车厢中私奔般恋爱⏎再挤逼都不放开⏎祈求在路上没任何的阻碍⏎令愉快旅程变悲哀⏎连气两次绿灯都过渡了⏎与他再爱几公里⏎当这盏灯转红便会别离⏎凭运气决定我生死⏎祈求天地放过一双恋人⏎怕发生的永远别发生⏎从来未顺利遇上好景降临⏎如何能重拾信心⏎祈求天父做十分钟好人⏎赐我他的吻 如怜悯罪人⏎我爱主同时亦爱一位世人⏎祈求沿途未变心请给我护荫⏎为了他不懂祷告都敢祷告⏎谁愿眷顾这种信徒⏎用两手遮掩双眼专心倾诉⏎宁愿答案望不到⏎唯求与他车厢中可抵达未来⏎到车毁都不放开⏎无论路上历尽任何的伤害⏎任由我决定爱不爱⏎祈求天地放过一双恋人⏎怕发生的永远别发生⏎从来未顺利遇上好景降临⏎如何能重拾信心⏎祈求天父做十分钟好人⏎赐我他的吻 如怜悯罪人⏎我爱主同时亦爱一位爱人⏎祈求沿途未变心请给我护荫⏎为了他不懂祷告都敢祷告⏎谁愿眷顾这种信徒⏎太爱他怎么想到这么恐怖⏎宁愿答案望不到⏎然而天父并未体恤好人⏎到我睁开眼 无明灯指引⏎我爱主 为何任我身边爱人⏎离弃了我下了车⏎你怎可答允","语料库",""
"天国的微笑","","薛凯琪","车欢送了隧道 天抛弃了白鹭⏎听不到的悲哀你会否感觉到⏎天空突然静悄⏎像遗下我 流浪到 某一个岛⏎荒草抱抱落叶 花瓣暗暗羡慕⏎经不了的分开你会否都懊恼⏎开心极为深奥⏎就凭直觉怀念你走进了地牢⏎可笑 地球 繁华遗下这个叛徒⏎并不 痛苦 我消失漆黑之中⏎难道会孤独⏎直觉此刻你于天国也是含着笑⏎直觉此刻我给一个宇宙忘掉了⏎闹市借宿多一宵⏎我心不再跳 恐怕有别人围绕⏎直觉此刻戏中一个笑匠流泪了⏎自你那天走了人类变得很无聊⏎从此起我自我亦都不见了⏎盛世在摇 晚风在摇 多烦扰⏎都失去了量度 他宣泄了味道⏎冰室里的忧郁你会否抒发到⏎开心极为恐怖⏎未能做到 怀着笑走半里路途⏎只有睡眠 祈求能梦到你睡袍⏎甚么 结果 你忧心天空之中⏎寻觅我出路⏎直觉此刻你于天国也是含着笑⏎直觉此刻我给一个宇宙忘掉了⏎闹市借宿多一宵⏎我心不再跳 恐怕有别人围绕⏎直觉此刻戏中一个笑匠流泪了⏎自你那天走了人类变得很无聊⏎从此起我自我亦都不见了⏎盛世在摇 晚风在摇 多烦扰⏎以放弃世界 以安息的心 停顿了⏎过去过去 风景永远炫燿⏎大概放弃世界 我滞留何地并无重要⏎若世间关注我越少 撩动我的痛爱也越少⏎直觉此刻你于天国也是含着笑⏎直觉此刻我的都市已是沦陷了⏎廿四店始终通宵⏎每一天过了 讨厌与未来缠绕⏎直觉此刻错失的爱会没完没了⏎自你那天走了人类变得很无聊⏎从此起我面对自己不再笑⏎泪腺动摇 渗于浪潮 的微笑","语料库",""
"爱的荣耀","","柯有伦","躲在黑暗一角害怕忘掉⏎我接受了这玩笑⏎为你什么都好⏎愚蠢换来拥抱只剩一秒⏎无奈变成了依靠为谁求饶⏎你还在压抑着悲哀出卖微笑⏎我陪着孤单在赛跑⏎这祷告没人能听到⏎救不回的爱痛苦的句号⏎你狠狠把我删除掉⏎隐藏的伤口封闭的思考⏎冲动是唯一解逃⏎救不回的爱痛苦的句号⏎眼泪还停留在眼角⏎隐藏的伤口换来了荣耀⏎的s耀⏎愚蠢换来拥抱只剩一秒⏎无奈变成了依靠为谁求饶⏎你还在压抑着悲哀出卖微笑⏎我陪着孤单在赛跑⏎这祷告没人能听到⏎救不回的爱痛苦的句号⏎你狠狠把我删除掉⏎隐藏的伤口封闭的思考⏎冲动是唯一解逃⏎救不回的爱痛苦的句号⏎眼泪还停留在眼角⏎隐藏的伤口换来了荣耀⏎的s耀⏎的s耀","语料库",""
"爱是我的荣耀","","柯以敏","希望有种希望⏎在这漫漫黑暗中悄悄点亮⏎坚强有点坚强⏎像是我已可以告别这忧伤⏎当我回首看见了我⏎为爱拆磨却甘心为爱坠落⏎当我抬头学会了自由⏎你给了我最深的感动⏎爱是我的荣耀⏎生命第一次你让我感到重要⏎多么渴望能够永远在你怀中⏎深深诉说我的希望和梦想⏎爱是我的荣耀⏎宁愿忍受痛苦忍受世界的煎熬⏎知道有一天我将会感到光荣⏎不再懦弱与你深深相拥直到天荒地老⏎（music）⏎希望有种希望⏎在这漫漫黑暗中悄悄点亮⏎坚强有点坚强⏎像是我已可以告别这忧伤⏎当我回首看见了我⏎为爱拆磨却甘心为爱坠落⏎当我抬头学会了自由⏎你给了我最深的感动⏎爱是我的荣耀⏎生命第一次你让我感到重要⏎多么渴望能够永远在你怀中⏎深深诉说我的希望和梦想⏎爱是我的荣耀⏎宁愿忍受痛苦忍受世界的煎熬⏎知道有一天我将会感到光荣⏎不再懦弱与你深深相拥直到天荒地老⏎爱是我的荣耀⏎宁愿忍受痛苦忍受世界的煎熬⏎知道有一天我将会感到光荣⏎不再懦弱与你深深相拥直到天荒地老","语料库",""
