"题目","朝代","作者","内容","来源","词牌"
"丢丢铜(福建民歌)","","龚琳娜","啊买一个⏎丢⏎店主开门一个⏎丢丢铜啊一个⏎店主出门挂招牌⏎啊买一个⏎丢⏎等待贵客一个⏎铜啊一个⏎♪丢丢铜♪⏎♪龚琳娜♪⏎♪走西口♪⏎♪百鬼夜行制作♪⏎啊买一个⏎丢⏎店主开门一个⏎丢丢铜啊一个⏎店主出门挂招牌⏎招牌一个⏎挂满一个⏎啊买一个⏎丢⏎哎哟门斗顶⏎等待贵客一个⏎丢丢⏎铜啊一个⏎等待客官⏎入店来⏎♪Music♪⏎清早一个⏎起来一个⏎啊买一个⏎丢⏎闹彩彩⏎店主开门一个⏎丢丢铜啊一个⏎店主出门挂招牌⏎招牌一个⏎挂满一个⏎啊买一个⏎丢⏎门斗顶⏎等待贵客一个⏎丢丢⏎铜啊一个⏎等待客官⏎入店来⏎丢啊丢啊丢个丢⏎丢啊丢啊丢个丢⏎丢咿呀咿⏎丢咿呀咿⏎丢啊丢啊丢个丢⏎丢啊丢啊丢个丢⏎丢咿呀咿⏎丢咿呀咿⏎丢啊丢啊丢个丢⏎丢啊丢啊丢个丢⏎丢咿呀咿⏎丢咿呀咿⏎丢啊丢啊丢个丢⏎丢啊丢啊丢个丢⏎丢咿呀咿⏎丢咿呀咿⏎清早一个⏎起来一个⏎啊买一个⏎丢⏎闹彩彩⏎店主开门一个⏎丢丢铜啊一个⏎店主出门挂招牌⏎招牌一个⏎挂满一个⏎啊买一个⏎丢⏎门斗顶⏎等待贵客一个⏎丢丢⏎铜啊一个⏎等待客官⏎入店来⏎清早一个⏎起来一个⏎啊买一个⏎丢⏎闹彩彩⏎店主开门一个⏎丢丢铜啊一个⏎店主出门挂招牌⏎招牌一个⏎挂满一个⏎啊买一个⏎丢⏎门斗顶⏎等待贵客一个⏎丢丢⏎铜啊一个⏎等待客官⏎入店来⏎The End","语料库",""
"阳光少女","","龚琳娜","蒙蒙细雨雨蒙蒙 漫步走在小山中⏎飘来一阵竹叶香⏎小小姑娘红衣衫 哪里来呀哪里去⏎踏遍青山找阳光⏎小楼弯弯水汪汪 青山倒影路两旁⏎传来一阵笑声脆⏎天使听了也会藏 哪里来呀哪里去⏎笑说出山找阳光⏎清水江水荡漾 风雨桥边阿哥唱⏎鼓楼前老人在期盼 雷公山飞歌亮⏎芦笙伴她路一段 她决心决心要离开⏎这个成长生活的故乡⏎要找寻那个属于自己的太阳 太阳⏎山路弯弯长长 妈妈眼望穿⏎带上红红衣衫 愿你一路平安 平安⏎蒙蒙细雨雨蒙蒙 漫步走在小山中⏎飘来一阵竹叶香⏎小小姑娘红衣衫 哪里来呀哪里去⏎踏遍青山找阳光⏎小楼弯弯水汪汪 青山倒影路两旁⏎传来一阵笑声脆⏎天使听了也会藏 哪里来呀哪里去⏎笑说出山找阳光","语料库",""
"五更月(甘肃民歌)","","龚琳娜","《五更月》⏎时长4′09″⏎一呀更里月儿挂树梢，⏎尕妹妹揭起个窗帘儿瞧，⏎小鸟儿围窝着唧呀唧地叫呀啊⏎月亮树梢里偷偷地笑。⏎二呀更里月儿照花台⏎阿哥约定着今晚上来⏎月亮啊井上个北呀个水⏎阿哥你为啥还不来⏎三呀更里月儿照西坡，⏎树上的小鸟儿睡着了，⏎阿哥不来是呀为何，⏎莫非是旁呀边有条河。⏎四呀更里月儿照花窗，⏎月光悄悄地爬到那炕沿上⏎几柱烟啊三叠呀天呀地亮，⏎等阿哥我等的呀长夜长。⏎五呀更里月儿西山落，⏎启明星爬上那东山坡啊，⏎小鸟儿啊起床者离呀了窝啊，⏎尕妹妹的心思给谁说。","语料库",""
"敖包相会","","蔡琴","十五的月亮 升上了天空哪⏎为什么旁边 没有云彩⏎我等待着 美丽的姑娘呀⏎你为什么 还不到来哟嗬⏎如果没有 天上的雨水呀⏎海棠花儿 不会自己开⏎只要哥哥你 耐心地等待哟⏎你心上的人儿 就会跑过来哟嗬⏎十五的月亮 升上了天空哪⏎为什么旁边 没有云彩⏎我等待着 美丽的姑娘呀⏎你为什么 还不到来哟嗬⏎如果没有 天上的雨水呀⏎海棠花儿 不会自己开⏎只要哥哥你 耐心地等待哟⏎你心上的人儿 就会跑过来哟嗬","语料库",""
"迎风摇曳的花儿","","周艳泓","迎风摇曳的花儿啊⏎你为什么要悲伤⏎莫非你已知道春天⏎要悄悄的离去了⏎爱我爱我的人儿啊⏎你为何不说话⏎茫然一片的我听不到⏎你最初的回答⏎迎风摇曳的花儿啊⏎你为什么要悲伤⏎这是春天的记忆啊⏎永远留在我生命里⏎爱我爱我的人儿啊⏎你要去向哪里⏎远方的天空很美丽⏎你不会再孤寂⏎春天春天的花儿啊⏎你不要不要悲伤啊⏎让我把所有心里的话⏎它全部都对你讲⏎爱我爱我的人儿啊⏎我不能不能挽留你呀⏎你踏着夕阳静静离去⏎别为爱你的人牵挂⏎迎风摇曳的花儿啊⏎你为什么要悲伤⏎莫非你已知道春天⏎要悄悄的离去了⏎爱我爱我的人儿啊⏎你为何不说话⏎茫然一片的我听不到⏎你最初的回答⏎迎风摇曳的花儿啊⏎你为什么要悲伤⏎这是春天的记忆啊⏎永远留在我生命里⏎爱我爱我的人儿啊⏎你要去向哪里⏎远方的天空很美丽⏎你不会再孤寂⏎春天春天的花儿啊⏎你不要不要悲伤啊⏎让我把所有心里的话⏎它全部都对你讲⏎爱我爱我的人儿啊⏎我不能不能挽留你呀⏎你踏着夕阳静静离去⏎别为爱你的人牵挂⏎春天春天的花儿啊⏎你不要不要悲伤啊⏎让我把所有心里的话⏎它全部都对你讲⏎爱我爱我的人儿啊⏎我不能不能挽留你呀⏎你踏着夕阳静静离去⏎别为爱你的人牵挂⏎迎风摇曳的花儿啊⏎你为什么要悲伤⏎莫非你已知道春天⏎要悄悄离去了⏎爱我爱我的人儿啊⏎你为何不说话⏎茫然一片的我听不到⏎你最初的回答","语料库",""
"再唱山歌给党听","","周艳泓","再唱山歌给党听⏎小时候听到妈妈唱一首歌⏎温暖的感觉一直停留在我的心窝⏎美好的愿望从那一刻没改变过 时时刻刻⏎长大后我也在唱那首老歌⏎好想让美好回忆 停留那个时刻⏎眼前的一切都在改变我却要唱 大家来和⏎唱支山歌 给党听⏎多少的祝福化作我的歌声⏎唱支山歌 给党听⏎动人的旋律飘在世界的每个角落⏎rap 谁说老歌不是那么好听 人人都哼唱你也跟呼应⏎艳泓的歌声带着和谐憧憬 唱着山歌优美的旋律⏎唱出感激心情⏎龙的传人 炎黄子孙⏎我们一起跟着节奏欢庆我们的节日⏎伸出双手 放在胸口⏎让我们一起为中国加油！！！⏎小时候听到妈妈唱一首歌⏎温暖的感觉一直停留在我的心窝⏎美好的愿望从那一刻没改变过 时时刻刻⏎长大后我也在唱那首老歌⏎好想让美好回忆 停留那个时刻⏎眼前的一切都在改变我却要唱 大家来和⏎唱支山歌 给党听⏎多少的祝福化作我的歌声⏎唱支山歌 给党听⏎动人的旋律飘在世界的每个角落⏎唱支山歌 给党听⏎多少的祝福化作我的歌声⏎唱支山歌 给党听⏎动人的旋律飘在世界的每个角落⏎唱支山歌 给党听⏎多少的祝福化作我的歌声⏎唱支山歌 给党听⏎动人的旋律飘在世界的每个角落","语料库",""
"又见茉莉花","","周艳泓","又见茉莉花⏎你现在还好吗⏎能不能说说心里话⏎是不是有些不如意⏎说出来好吗⏎你现在还好吗⏎我真的一直好牵挂⏎虽然也有你的消息⏎心却放不下⏎你总说⏎现在过的很好⏎可你脸上明明 写着烦恼⏎你也说 想起从前就心跳⏎一起去采茉莉花⏎时光多美好⏎好一朵美丽的茉莉花⏎好一朵美丽的茉莉花⏎芬芳美丽满枝丫⏎又香又白人人夸⏎Music⏎你现在还好吗⏎能不能说说心里话⏎是不是有些不如意⏎说出来好吗⏎你现在还好吗⏎我真的一直好牵挂⏎虽然也有你的消息⏎心却放不下⏎你总说⏎现在拥有不少⏎可你又说心里⏎什么也找不到⏎梦里只有⏎茉莉花的芳香飘⏎回到从前去拥抱⏎真正的欢笑⏎好一朵美丽的茉莉花⏎好一朵美丽的茉莉花⏎芬芳美丽满枝丫⏎又香又白人人夸⏎好一朵美丽的茉莉花⏎好一朵美丽的茉莉花⏎芬芳美丽满枝丫⏎又香又白人人夸⏎好一朵美丽的茉莉花⏎好一朵美丽的茉莉花⏎芬芳美丽满枝丫⏎又香又白人人夸⏎好一朵美丽的茉莉花⏎好一朵美丽的茉莉花⏎芬芳美丽满枝丫⏎又香又白人人夸","语料库",""
"小赖麻","","徐小凤","小癞麻 小癞麻⏎他种花我采茶唱呀唱唷⏎小癞麻他看着我想说什么⏎我说他见我怕 羞呀羞唷⏎红着那脸装哑吧 含情默默⏎我骂他小癞麻丑呀丑唷⏎光光的头开了花受尽折磨⏎小癞麻听了话气呀气唷⏎手提着蓝 丢了花走得快唷⏎我骂他小癞麻丑呀丑唷⏎光光的头开了花受尽折磨⏎小癞麻听了话气呀气唷⏎手提着蓝 丢了花走得快唷⏎他种花我采茶唱呀唱唷⏎小癞麻他看着我想说什么⏎我说他见我怕 羞呀羞唷⏎红着那脸装哑吧 含情默默⏎我骂他小癞麻丑呀丑唷⏎光光的头开了花受尽折磨⏎小癞麻听了话气呀气唷⏎手提着蓝 丢了花走得快唷⏎我骂他小癞麻丑呀丑唷⏎光光的头开了花受尽折磨⏎小癞麻听了话气呀气唷⏎手提着蓝 丢了花走得快唷⏎小癞麻...小癞麻... 走得快唷","语料库",""
"齐上小山岗","","徐小凤","啊……⏎齐齐与你攀小山岗⏎同看风光 耀眼艳阳⏎闪闪金光天青气朗⏎时时与你攀小山岗⏎同上高岗 乐也洋洋⏎一曲山歌声威更壮⏎满心欢畅山风清也爽快水声清也响⏎小鸟唱百花也怒放⏎陶醉这满眼好风光⏎将胸襟远放⏎纵声歌唱⏎山谷反响借风吹飘远方⏎歌远播我心也乐�⏎齐与你上这小山岗⏎将歌声远放⏎啊……⏎你意重 我情长⏎你我两个共渡岁月长⏎快快乐乐蜜意情长⏎你种麦 我牧羊⏎看见片片麦浪心开朗⏎我爱大地上满牛羊⏎齐齐与你攀小山岗⏎原野苍苍 绿野茫茫⏎欣赏风光胸襟更壮⏎齐齐与你攀小山岗⏎同看风光 耀眼艳阳⏎闪闪金光天晴气朗⏎时时与你攀小山岗⏎同上高岗 乐也洋洋⏎一曲山歌声威更壮","语料库",""
"大家姐与大狂","","关正杰","丽的亚视半世纪的精彩⏎大家姐与大狂魔⏎大家姐英明播⏎重出江湖拼狂魔⏎大家姐英明播⏎再显雄风把奸锄⏎结义手足同心相助⏎那怕教父大阿哥⏎杀人又放火⏎蛇鼠共一窝⏎恶人必定受折磨⏎大家姐英明播⏎足智多谋斗狂魔⏎大家姐英明播⏎惩凶除暴 万众笑呵呵⏎大家姐英明播⏎重出江湖拼狂魔⏎大家姐英明播⏎再显雄风把奸锄⏎结义手足同心相助⏎那怕教父大阿哥⏎杀人又放火⏎蛇鼠共一窝⏎恶人必定受折磨⏎大家姐英明播⏎足智多谋斗狂魔⏎大家姐英明播⏎惩凶除暴 万众笑呵呵⏎ok!","语料库",""
"红高粱","","赵传","希望你可以喜欢这首歌⏎如果你们很喜欢一个女孩⏎她不敢向你靠近⏎那你就用接下来这首歌来告诉她⏎这首歌叫做⏎妹妹你大胆地往前走⏎妹妹你大胆地往前走⏎往前走 莫回头⏎通天的大路 九千九百⏎九千九百九呀⏎妹妹你大胆地往前走呀⏎往前走 莫回呀头⏎通天的大路 九千九百⏎九千九百九呀⏎妹妹你大胆地往前走呀⏎往前走 莫回呀头⏎你 搭起那红绣楼呀⏎抛洒着红绣球呀⏎正打中我的头呀⏎与你喝一壶呀⏎红红的高梁酒呀⏎红红的高梁酒 呀嘿⏎妹妹你大胆地往前走呀⏎往前走 莫回呀头⏎通天的大路 九千九百⏎九千九百九呀⏎妹妹你大胆地往前走呀⏎往前走 莫回呀头⏎从此后⏎你 搭起那红绣楼呀⏎抛洒着红绣球呀⏎正打中我的头呀⏎与你喝一壶呀⏎红红的高梁酒呀⏎红红的高梁酒 呀嘿⏎妹妹你大胆地往前走呀⏎往前走 莫回呀头","语料库",""
"俗世的污染","","钟镇涛","容我化作缕缕清烟 夕阳下飘出天边⏎松树下蝉儿仍在叫 也许它不自愿⏎没法子耸身一飞冲上天 遥望故地庭园⏎谁道这里看月圆 比家乡光出半点⏎回顾这里瘴气污烟 未尝让呼吸好转⏎名共利重重围住了 有几多心未乱⏎在往天轻轻松松跑上山 遥望遍地禾田⏎云在远处靠着眠 山歌心中响遍⏎塘边的小菊花 在此间不许多看见⏎荷叶片片软如绵 教我也倍加思念⏎在昨天乡间多清幽 未知道今天可有变⏎今天我实在厌倦 俗世的污染⏎回顾这里瘴气污烟 未尝让呼吸好转⏎名共利重重围住了 有几多心未乱⏎在往天轻轻松松跑上山 遥望遍地禾田⏎云在远处靠着眠 山歌心中响遍⏎塘边的小菊花 在此间不许多看见⏎荷叶片片软如绵 教我也倍加思念⏎在昨天乡间多清幽 未知道今天可有变⏎今天我实在厌倦 俗世的污染","语料库",""
"茉莉花","","梁静茹","好一朵美丽的茉莉花⏎好一朵美丽的茉莉花⏎芬芳美丽满枝桠⏎又香又白人人夸⏎不让谁把心摘下⏎就等那个人爱呀⏎茉莉花呀茉莉花⏎谁当我情人⏎你说我真好⏎谁当我情人做梦都会笑⏎我望着窗外的街角⏎看到辛酸走来幸福走掉⏎呜 呜⏎不让谁把心摘下⏎就等那个人爱呀⏎茉莉花呀茉莉花⏎谁当我情人⏎你说我真好⏎谁当我情人做梦都会笑⏎我望着窗外的街角⏎看到辛酸走来幸福走掉⏎你说我真好⏎比谁都好⏎有适合的人要帮我介绍⏎如果我真的那么好⏎你为什么不要⏎为什么不要⏎好一朵美丽的茉莉花⏎好一朵美丽的茉莉花⏎芬芳美丽满枝桠⏎又香又白人人夸⏎茉莉花呀茉莉花","语料库",""
"船歌","","蔡幸娟","今夜风轻月明⏎水面清波荡漾⏎请划小船入夜⏎波痕侵透衣裳⏎奖儿滑破月影⏎船儿摇碎波光⏎两岸疏灯明灭⏎远山暮蔼苍茫⏎好比人间天上⏎今夜风轻月明⏎水面清波荡漾⏎请划小船入夜⏎波痕侵透衣裳⏎奖儿滑破月影⏎船儿摇碎波光⏎两岸疏灯明灭⏎远山暮蔼苍茫⏎好比人间天上⏎良辰美景⏎好比人间天上⏎----","语料库",""
"三套车(俄罗斯民歌)","","赵鹏","冰雪遮盖着伏尔加河⏎冰河上跑着三套车⏎有人在唱着忧郁的歌⏎唱歌的是那赶车的人⏎冰雪遮盖着伏尔加河⏎冰河上跑着三套车⏎有人在唱着忧郁的歌⏎唱歌的是那赶车的人⏎小伙子你为什么忧愁⏎为什么低着你的头⏎是谁叫你这样伤心⏎问他的是那乘车的人⏎你看吧这匹可怜的老马⏎它跟我走遍天涯⏎可恨那财主要把他买了去⏎今后苦难在等着它⏎可恨那财主要把他买了去⏎今后苦难在等着它⏎小伙子你为什么忧愁⏎为什么低着你的头⏎是谁叫你这样伤心⏎问他的是那乘车的人⏎你看吧这匹可怜的老马⏎它跟我走遍天涯⏎可恨那财主要把他买了去⏎今后苦难在等着它⏎可恨那财主要把他买了去⏎今后苦难在等着它……","语料库",""
"船歌","","赵鹏","姐儿头上戴着杜鹃花 呀⏎迎着风儿随浪逐彩霞⏎船儿摇过春水不说话 呀⏎水乡温柔何处是我的家⏎船儿摇过春水不说话 呀⏎随着歌儿划向梦里的他⏎嘴儿轻轻唱也不说话 呀⏎水乡温柔象那梦里的画⏎嘴儿轻轻唱也不说话 呀⏎年华飘过歌声似水流⏎船儿摇过春水不停留 呀⏎摇到风儿吹破天凉的秋⏎船儿摇过春水不停留 呀⏎鱼儿双双结伴水底游⏎谁的船歌唱的声悠悠⏎水乡温柔来到天凉的秋⏎谁的船歌唱的声悠悠⏎谁家姑娘水乡泛扁舟⏎谁的梦中 他呀不说话 呀⏎谁的他呀 何处是我家⏎姐儿头上戴着杜鹃花 呀⏎迎着风儿随浪逐彩霞⏎船儿摇过春水不说话 呀⏎水乡温柔何处是我的家⏎船儿摇过春水不说话 呀⏎水乡温柔何处是我的家","语料库",""
"南泥湾","","赵鹏","花篮的花儿香⏎听我来唱一唱⏎唱一呀唱⏎来到了南泥湾⏎南泥湾好地方⏎好地呀方⏎好地方来好风光⏎好地方来好风光⏎到处是庄稼⏎遍地是牛羊⏎往年的南泥湾⏎处处是荒山⏎没呀人烟⏎如今的南泥湾⏎与往年不一般⏎不一呀般⏎如呀今的南泥湾⏎与呀往年不一般⏎再不是旧模样⏎是陕北的好江南⏎陕北的好江南⏎鲜花开满山⏎开呀满山⏎学习那南泥湾⏎处处是江南⏎是呀江南⏎又学习来又生产⏎三五九旅是模范⏎咱们走向前⏎鲜花送模范⏎咱们走向前⏎鲜花送模范","语料库",""
